IDX,Revenue
928,90.33
929,97.07
930,61.27
931,91.85
932,94.21
933,52.64
934,94.37
935,90.72
936,56.75
937,93.85
938,87.32
939,87.31
940,90.77
941,102.64
942,106.01
943,57.72
944,86.87
945,98.4
946,93.21
947,84.69
948,82.75
949,93.66
950,61.35
951,93.32
952,91.88
953,105.85
954,93.62
955,104.83
956,58.97
957,88.6
958,54.71
959,39.99
960,52.93
961,53.59
962,54.03
963,84.64
