Revenue,IDX
112.0286,707
111.7398,708
122.0455,709
113.0996,710
111.5789,711
129.1594,712
113.0397,713
116.0137,714
78.4763,715
100.1035,716
79.0113,717
65.8069,718
110.77475,719
109.4005,720
120.9078,721
133.327,722
109.185826667,723
122.122,724
112.5368,725
98.0117,726
110.0474,727
133.3426,728
101.3254,729
117.388,730
102.7343,731
106.9338,732
93.1289,733
112.1131,734
84.3593,735
108.2197,736
135.6871,737
108.3237,738
93.3297,739
129.0613,740
136.2707,741
112.3035,742
111.263,743
42.404,744
91.4662,745
119.7933,746
108.4344,747
102.2695,748
56.8698,749
90.837,750
117.7396,751
109.2554,752
111.7673,753
126.0644,754
110.5748,755
120.7449,756
65.4023,757
138.6515,758
109.1102,759
115.0796,760
108.5288,761
85.7188,762
43.4959,763
111.6057,764
32.2517,765
108.553965357,766
105.6292,767
126.013,768
114.4998,769
130.9837,770
129.467,771
111.8244,772
123.6487,773
96.7404,774
132.951,775
109.5477,776
131.6516,777
87.7778,778
128.6587,779
117.0223,780
124.1222,781
112.8869,782
108.7747,783
63.7713,784
79.1826,785
124.6165,786
101.3539,787
111.855,788
111.654333333,789
111.0983,790
114.0943,791
98.7965,792
120.1021,793
94.5303,794
113.5602,795
112.046,796
108.4728,797
120.4833,798
111.02335,799
113.7752,800
122.6129,801
110.7573,802
111.3016,803
57.2794,804
100.9467,805
66.8265,806
109.4256,807
134.0704,808
111.5457,809
113.1311,810
109.2159,811
121.5707,812
120.4354,813
122.5279,814
134.5661,815
80.0738,816
111.0771,817
111.0143,818
114.0078,819
103.5094,820
80.7543,821
96.5069,822
128.4497,823
43.4711,824
94.0665,825
109.8365,826
135.1563,827
109.598,828
112.2919,829
109.95345,830
111.8316,831
70.1237,832
105.0617,833
110.4842,834
113.991775,835
110.4336,836
119.9748,837
112.72824,838
114.1402,839
111.4668,840
99.0443,841
114.1383,842
114.3489,843
130.1493,844
111.3276,845
115.6607,846
98.4298,847
111.8391,848
119.5747,849
106.5089,850
94.7969,851
30.0221,852
91.7974,853
87.0894,854
112.6126,855
96.7932,856
120.1755,857
101.2699,858
110.2694,859
125.4357,860
91.6882,861
107.8119,862
111.0335,863
109.975866667,864
108.88746,865
107.2377,866
108.91475,867
124.0449,868
108.6337,869
114.8202,870
129.7113,871
111.7561,872
98.2751,873
115.7223,874
133.6128,875
100.8075,876
109.98474,877
130.1908,878
112.0859,879
111.0436,880
112.04,881
116.6561,882
111.0701,883
105.648,884
73.9914,885
127.9565,886
136.2934,887
111.7872,888
131.267,889
133.8334,890
106.09915,891
111.7702,892
116.3764,893
136.8817,894
116.2684,895
113.6069,896
